         73459485 function calls (73452122 primitive calls) in 27.958 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.000    0.000    0.000    0.000 core.py:895(__init__)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
     1179    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       12    0.000    0.000    0.001    0.000 __init__.py:1901(_define_aliases)
       31    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
      147    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       75    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       64    0.000    0.000    0.002    0.000 rcsetup.py:104(<listcomp>)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
      117    0.000    0.000    0.000    0.000 posixpath.py:71(join)
        1    0.000    0.000    0.006    0.006 cm.py:32(_gen_cmap_registry)
      491    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      147    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       67    0.000    0.000    0.000    0.000 pyparsing.py:4442(__init__)
      410    0.000    0.000    0.000    0.000 copyreg.py:90(__newobj__)
      274    0.000    0.000    0.000    0.000 function_base.py:419(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 colors.py:1095(Normalize)
      380    0.000    0.000    0.002    0.000 __init__.py:602(__getitem__)
      691    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       97    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 triinterpolate.py:581(_ReducedHCT_Element)
       85    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
       28    0.000    0.000    0.000    0.000 __init__.py:1272(getLogger)
      348    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
      174    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      993    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       30    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      433    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      307    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      137    0.000    0.000    0.000    0.000 pyplot.py:2008(<genexpr>)
       27    0.000    0.000    0.005    0.000 pyparsing.py:3294(__init__)
      126    0.000    0.000    0.000    0.000 colors.py:846(__init__)
       10    0.000    0.000    0.002    0.000 pyparsing.py:3140(__init__)
      338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      676    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       55    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       50    0.000    0.000    0.000    0.000 _internal.py:781(_ufunc_doc_signature_formatter)
       12    0.000    0.000    0.015    0.001 artist.py:1308(__init__)
      799    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       85    0.000    0.000    0.000    0.000 deprecation.py:241(finalize)
