         102885391 function calls (102878028 primitive calls) in 35.188 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.000    0.000    0.000    0.000 core.py:895(__init__)
      339    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       47    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      175    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
     1390    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       20    0.000    0.000    0.001    0.000 pyparsing.py:4686(parseImpl)
     2154    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      332    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      393    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        1    0.000    0.000    0.136    0.136 pyplot.py:4(<module>)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      338    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:554(__init__)
       67    0.000    0.000    0.001    0.000 pyparsing.py:4011(__init__)
      410    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      705    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       32    0.000    0.000    0.001    0.000 colors.py:302(to_rgba_array)
       17    0.000    0.000    0.004    0.000 rcsetup.py:880(validate_cycler)
        2    0.000    0.000    0.001    0.000 decoder.py:343(raw_decode)
       55    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       68    0.000    0.000    0.000    0.000 inspect.py:2561(__str__)
      239    0.000    0.000    0.002    0.000 rcsetup.py:370(validate_color_for_prop_cycle)
      769    0.000    0.000    0.000    0.000 __init__.py:823(<lambda>)
       96    0.000    0.000    0.001    0.000 traceback.py:285(line)
        1    0.000    0.000    0.014    0.014 pyparsing.py:27(<module>)
      708    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       17    0.000    0.000    0.000    0.000 deprecation.py:297(rename_parameter)
      266    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      179    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      174    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       56    0.000    0.000    0.001    0.000 __init__.py:687(_open_file_or_url)
        1    0.000    0.000    0.006    0.006 cm.py:32(_gen_cmap_registry)
        1    0.000    0.000    0.009    0.009 _axes.py:46(Axes)
      100    0.000    0.000    0.000    0.000 font_manager.py:951(_json_decode)
      415    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
      722    0.000    0.000    0.000    0.000 rcsetup.py:241(validator)
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
      147    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
     72/4    0.000    0.000    0.001    0.000 pyparsing.py:1835(_parseCache)
      158    0.000    0.000    0.000    0.000 enum.py:373(__setattr__)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1452(setName)
       40    0.000    0.000    0.000    0.000 colors.py:1028(__init__)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      491    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
    63/11    0.000    0.000    0.002    0.000 pyparsing.py:4049(parseImpl)
      117    0.000    0.000    0.000    0.000 posixpath.py:71(join)
       12    0.000    0.000    0.001    0.000 __init__.py:1901(_define_aliases)
       64    0.000    0.000    0.002    0.000 rcsetup.py:104(<listcomp>)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.003    0.003 _mathtext.py:2505(<listcomp>)
      274    0.000    0.000    0.000    0.000 function_base.py:419(_needs_add_docstring)
     1117    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.038    0.038 rcsetup.py:1(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:852(__iadd__)
     1179    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       67    0.000    0.000    0.000    0.000 pyparsing.py:4442(__init__)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
       73    0.000    0.000    0.000    0.000 rcsetup.py:88(<listcomp>)
       55    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      101    0.000    0.000    0.000    0.000 inspect.py:534(_findclass)
      194    0.000    0.000    0.000    0.000 pyplot.py:83(_copy_docstring_and_deprecators)
      410    0.000    0.000    0.000    0.000 copyreg.py:90(__newobj__)
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
      380    0.000    0.000    0.002    0.000 __init__.py:602(__getitem__)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1283(_trim_arity)
       63    0.000    0.000    0.001    0.000 colors.py:987(<dictcomp>)
      147    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      166    0.000    0.000    0.000    0.000 colors.py:564(__init__)
      676    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      348    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      117    0.000    0.000    0.001    0.000 inspect.py:2853(replace)
       30    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      235    0.000    0.000    0.000    0.000 function_base.py:244(iterable)
      433    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
   114/56    0.000    0.000    0.002    0.000 pyparsing.py:3968(copy)
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
      174    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
